exp,I,T,J,seed,exp_cost,exp_carbon,exp_renewable_util,cvar90_carbon,cvar95_carbon,cvar90_cost,cvar95_cost,sla_violation_rate,std_cost,std_carbon,runtime_sec
baseline,2,12,30,11,5.78182256771841,25.926186195001968,0.22094355590168532,28.442033928521113,28.442033928521113,6.463954624585122,6.463954624585122,0.0,0.5890087167752938,1.9344724269563836,0.00020970800000008616
DRO,2,12,30,11,6.096708256764951,23.569167089929977,0.23395799441356263,25.84870961252809,25.84870961252809,6.921657503214891,6.921657503214891,0.0,0.6623413733894159,1.728122195255891,0.07714829199999995
baseline,2,12,30,12,7.135156697893561,25.091291869125172,0.20701006320683138,29.780614507635633,29.780614507635633,7.331852004297322,7.331852004297322,0.0,0.1816376364130748,2.9270208708870262,0.0002041659999998391
DRO,2,12,30,12,7.483901355658423,23.78954217373819,0.21687103037284367,28.222004449949548,28.222004449949548,7.755572722390255,7.755572722390255,0.0,0.1897126788801389,2.7769412799867883,0.0568412920000001
baseline,2,12,30,13,5.793296704633315,25.41836791616565,0.21481882542880001,30.85486719616538,30.85486719616538,6.668774191612121,6.668774191612121,0.0,0.6117273906844444,3.302069740508505,0.00019812500000004896
DRO,2,12,30,13,6.247603722333455,22.02619703437732,0.22904532005843786,26.908842307807888,26.908842307807888,7.183098992165112,7.183098992165112,0.0,0.716625002815198,2.9432788695936516,0.05469208300000017
baseline,2,12,60,11,11.726923301918058,47.65487777691779,0.20445870199372276,57.7997443859572,57.7997443859572,12.072666420882706,12.072666420882706,0.0,0.3388534366829175,4.789791029448953,0.0003674580000001537
DRO,2,12,60,11,12.247152261165805,45.255964828049784,0.20400435780936974,54.62486255879221,54.62486255879221,12.848247234120894,12.848247234120894,0.0,0.4162317108122634,4.4465083800430785,0.09216558299999988
baseline,2,12,60,12,12.420379061360572,51.09480090507875,0.20938154792627814,63.14345965344957,63.14345965344957,14.176613143713842,14.176613143713842,0.0,1.2439276836457578,5.334015287834341,0.0003772499999998846
DRO,2,12,60,12,13.013856477123184,46.65205687912828,0.21539784439609147,57.15264358441081,57.15264358441081,14.779745299998963,14.779745299998963,0.0,1.1886341234715536,4.802056393777614,0.09023049999999988
baseline,2,12,60,13,12.542948466979755,43.962400079918936,0.21505951227197298,51.42768680220142,51.42768680220142,13.602734699856917,13.602734699856917,0.0,0.8440777022478886,4.627948058781639,0.0003750000000000142
DRO,2,12,60,13,13.957496504083647,39.07190503467086,0.22168228814035296,45.89193708744057,45.89193708744057,14.89110149937165,14.89110149937165,0.0,0.7695843309777805,4.280405766589117,0.0917366249999998
baseline,2,12,120,11,23.61444106142876,90.30379871282534,0.19163659848136172,108.12150947498668,108.12150947498668,28.302829543502856,28.302829543502856,0.0,2.918952294215605,11.41043967024766,0.0006994589999997913
DRO,2,12,120,11,26.932686243881346,79.25761475790488,0.2055826496042752,95.48350568068929,95.48350568068929,33.3548110623798,33.3548110623798,0.0,3.6579903963875373,9.908221726818482,0.16832541600000006
baseline,2,12,120,12,26.624286569099475,87.37388701172395,0.1975448164278488,117.9985753178603,117.9985753178603,30.084967599702686,30.084967599702686,0.0,2.7579394880989065,16.718470742248503,0.0007155000000000911
DRO,2,12,120,12,27.568785176845985,74.48051419908302,0.21461781651746525,99.14358336368159,99.14358336368159,31.42919768817697,31.42919768817697,0.0,2.8531848124870134,13.936773860638976,0.17962891700000005
baseline,2,12,120,13,23.020758559789215,95.38005588639878,0.1928263973060857,106.83399512875096,106.83399512875096,25.474705535855094,25.474705535855094,0.0,2.0973683049955074,7.963057691718119,0.0007236669999999279
